ParticleSize,Pressure,HydraulicConductivity,UptakeRate,DrugReleaseRate,PredictedPenetration,PredictedMaxConc,PredictedCoverage,DeliveryTime
20.0,22.5,1e-06,0.08,0.0525,0.2215601,0.91033965,45.010044,32.853424
20.0,22.5,1e-06,0.08,0.1,0.22091366,0.91268444,44.62821,28.887465
20.0,22.5,1.2e-06,0.08,0.005,0.21893823,0.42664024,44.339046,68.1878
20.0,22.5,1.2e-06,0.08,0.0525,0.23919785,0.91661763,48.560696,28.901718
20.0,22.5,1.2e-06,0.08,0.1,0.23835362,0.91973644,48.10943,24.859213
20.0,22.5,8e-07,0.1,0.005,0.15754473,0.42405748,32.05611,95.06757
20.0,22.5,8e-07,0.1,0.0525,0.17540978,0.8803123,35.505512,52.29963
20.0,22.5,8e-07,0.1,0.1,0.17482936,0.88228226,35.485886,50.370068
20.0,22.5,1e-06,0.1,0.005,0.17821957,0.42810583,36.456238,86.81403
20.0,22.5,1e-06,0.1,0.0525,0.19617616,0.8971479,39.789116,44.36259
20.0,22.5,1e-06,0.1,0.1,0.19626817,0.8990506,39.765182,39.91201
20.0,22.5,1.2e-06,0.1,0.005,0.19038585,0.42836145,38.77564,78.332504
20.0,22.5,1.2e-06,0.1,0.0525,0.20672525,0.90035695,41.91715,38.37979
20.0,22.5,1.2e-06,0.1,0.1,0.2072592,0.9020621,41.9883,35.29803
20.0,25.0,8e-07,0.02,0.005,0.2898534,0.4543632,58.27749,57.49496
20.0,25.0,8e-07,0.02,0.0525,0.348969,0.9693043,70.17808,31.005346
20.0,25.0,8e-07,0.02,0.1,0.35708162,0.970763,71.57049,28.25246
20.0,25.0,1e-06,0.02,0.005,0.30396643,0.4584163,61.115677,46.26688
20.0,25.0,1e-06,0.02,0.0525,0.3670925,0.9747682,73.51658,26.65578
20.0,25.0,1e-06,0.02,0.1,0.37246606,0.9770855,74.62417,23.878897
20.0,25.0,1.2e-06,0.02,0.005,0.3337237,0.46031383,66.988304,44.802483
20.0,25.0,1.2e-06,0.02,0.0525,0.38988543,0.9771513,78.165115,24.729576
20.0,25.0,1.2e-06,0.02,0.1,0.3906156,0.9786455,78.22615,22.328312
20.0,25.0,8e-07,0.04,0.005,0.26997903,0.43525252,54.470436,58.81984
20.0,25.0,8e-07,0.04,0.0525,0.29273668,0.9460508,59.037792,32.677288
20.0,25.0,8e-07,0.04,0.1,0.3011182,0.9458015,60.282143,29.232792
20.0,25.0,1e-06,0.04,0.005,0.27460307,0.4439184,55.556305,48.124496
20.0,25.0,1e-06,0.04,0.0525,0.32164332,0.9531198,64.57764,27.832668
20.0,25.0,1e-06,0.04,0.1,0.32946542,0.9538808,65.89079,24.400984
20.0,25.0,1.2e-06,0.04,0.005,0.29480088,0.44581595,59.54349,45.54536
20.0,25.0,1.2e-06,0.04,0.0525,0.3484877,0.9578668,70.30144,24.84274
20.0,25.0,1.2e-06,0.04,0.1,0.3519603,0.95810306,70.71371,21.953663
20.0,25.0,8e-07,0.06,0.005,0.20674737,0.43177557,41.99524,71.841
20.0,25.0,8e-07,0.06,0.0525,0.23420589,0.92709917,47.24027,39.4606
20.0,25.0,8e-07,0.06,0.1,0.23488608,0.9270125,47.44661,33.41853
20.0,25.0,1e-06,0.06,0.005,0.24471879,0.4360348,49.55499,60.47712
20.0,25.0,1e-06,0.06,0.0525,0.28123516,0.93776274,56.34378,30.000563
20.0,25.0,1e-06,0.06,0.1,0.28002316,0.9386864,56.282036,25.72532
20.0,25.0,1.2e-06,0.06,0.005,0.27924517,0.43704852,56.472965,57.399204
20.0,25.0,1.2e-06,0.06,0.0525,0.3012624,0.94116694,60.795017,26.421013
20.0,25.0,1.2e-06,0.06,0.1,0.30049238,0.94174063,60.58055,23.448313
20.0,25.0,8e-07,0.08,0.005,0.17857283,0.4156466,36.526165,78.77663
20.0,25.0,8e-07,0.08,0.0525,0.19378737,0.8964909,39.298996,43.63946
20.0,25.0,8e-07,0.08,0.1,0.19419236,0.89754766,39.328022,39.742996
20.0,25.0,1e-06,0.08,0.005,0.21162121,0.4200968,43.166428,67.74763
20.0,25.0,1e-06,0.08,0.0525,0.23240751,0.9161651,46.990654,31.281988
20.0,25.0,1e-06,0.08,0.1,0.2320375,0.9184337,46.691444,27.118986
20.0,25.0,1.2e-06,0.08,0.005,0.23810937,0.42017755,48.24033,64.67394
20.0,25.0,1.2e-06,0.08,0.0525,0.2574572,0.9211055,52.00796,28.098135
20.0,25.0,1.2e-06,0.08,0.1,0.2568895,0.9232289,51.586643,24.25772
20.0,25.0,8e-07,0.1,0.005,0.1654907,0.41691583,33.741905,87.65861
20.0,25.0,8e-07,0.1,0.0525,0.18072459,0.88443583,36.435143,48.5972
20.0,25.0,8e-07,0.1,0.1,0.18014418,0.8860141,36.463833,46.351765
20.0,25.0,1e-06,0.1,0.005,0.18327315,0.42136604,37.499687,77.271034
